country,officeCNT,orderCNT,"sales (*100,000)",officeRank,orderRank,salesRank
USA,3,112,32.73,1,1,1
Spain,1,36,10.99,18,3,2
France,1,37,10.07,9,2,3
Australia,1,19,5.63,3,4,4
"New Zealand",1,15,4.77,15,5,5
UK,1,13,4.37,21,6,6
Italy,1,10,3.61,13,7,7
Finland,1,9,2.95,8,9,8
Norway,1,9,2.71,16,10,9
Singapore,2,9,2.64,2,8,10
Denmark,1,7,2.19,7,14,11
Canada,1,7,2.06,6,13,12
Germany,1,7,1.96,10,15,13
Austria,1,7,1.89,4,11,14
Sweden,1,7,1.88,19,16,15
Japan,1,6,1.68,14,17,16
Switzerland,1,2,1.09,20,21,17
Belgium,1,7,1.00,5,12,18
Philippines,1,3,0.87,17,18,19
Ireland,1,2,0.50,12,20,20
"Hong Kong",1,2,0.45,11,19,21
